མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན་གྲངས།,,
,,1401,2,《པེ་》《སྣར་》,གནན།,,
,,1402,3,《པེ་》《སྣར་》,ལས།,,
,,1403,4,《པེ་》《སྣར་》,pལ།,,
,,1404,5,《པེ་》《སྣར་》,pདང་།,,
,,1405,6,《པེ་》《སྣར་》,སྲུང་བའི།,,
,,1406,7,《པེ་》《སྣར་》,mདང་།,,
,,1407,8,《པེ་》《སྣར་》,བ།,,
,,1408,9,《པེ་》《སྣར་》,རྟོགས།,,
,,1409,10,《པེ་》,ཡིན།,,
,281,1410,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,1411,2,《པེ་》《སྣར་》,གྱིས།,,
,,1412,3,《པེ་》《སྣར་》,པའི།,,
,,1413,4,《པེ་》《སྣར་》,mམཐོང་བ།,,
,,1414,5,《པེ་》《སྣར་》,པའི།,,
,282,1415,1,《པེ་》《སྣར་》,རྒྱན།,,
,,1416,2,《པེ་》《སྣར་》,pདང་།,,
,,1417,3,《པེ་》《སྣར་》,པ།,,
,,1418,4,《པེ་》《སྣར་》,བའི།,,
,,1419,5,《པེ་》《སྣར་》,པའི།,,
,,1420,6,《པེ་》《སྣར་》,mརྣམ་པ།,,
,283,1421,1,《པེ་》《སྣར་》,བྱའི།,,
,,1422,2,《པེ་》《སྣར་》,ལ།,,
,,1423,3,《པེ་》《སྣར་》,པར།,,
,,1424,4,《པེ་》《སྣར་》,མཁས།,,
,,1425,5,《པེ་》《སྣར་》,ལ།,,
,,1426,6,《པེ་》《སྣར་》,mའཇོག་པ།,,
,,1427,7,《པེ་》《སྣར་》,དེ།,,
,,1428,8,《པེ་》《སྣར་》,mརྣམ་པ།,,
,,1429,9,《པེ་》《སྣར་》,ལྟ་བར།,,
,,1430,10,《པེ་》《སྣར་》,མེད་པའི།,,
,284,1431,1,《པེ་》《སྣར་》,ནས།,,
,,1432,2,《པེ་》《སྣར་》,པར།,,
,,1433,3,《པེ་》,མོངས།,,
,,1434,4,《པེ་》《སྣར་》,mམཛད་པ།,,
,,1435,5,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1436,6,《པེ་》,ཕ་རོལ་པ་དང་།,《སྣར་》,ཕྱི་རོལ་བ་དང་།
,,1437,7,《པེ་》《སྣར་》,སྒྲུབ་བོ།,,
,285,1438,1,《པེ་》《སྣར་》,སྒྲུབ་བོ།,,
,,1439,2,《པེ་》《སྣར་》,ལ།,,
,,1440,3,《པེ་》《སྣར་》,སྒྲུབ་བོ།,,
,,1441,4,《པེ་》《སྣར་》,ཀྱི།,,
,,1442,5,《པེ་》《སྣར་》,mགི།,,
,,1443,6,《པེ་》《སྣར་》,ལས།,,
,,1444,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1445,8,《སྣར་》,mན།,,
,286,1446,1,《པེ་》《སྣར་》,པ།,,
,,1447,2,《པེ་》《སྣར་》,པ།,,
,,1448,3,《པེ་》《སྣར་》,ནས།,,
,,1449,4,《པེ་》,mལས།,,
,,1450,5,《པེ་》《སྣར་》,pབ།,,
,,1451,6,《པེ་》《སྣར་》,mངེས་པར།,,
,,1452,7,《པེ་》《སྣར་》,རྣམས།,,
,,1453,8,《པེ་》《སྣར་》,mརྣམ་པར།,,
,287,1454,1,《པེ་》《སྣར་》,mམི།,,
,,1455,2,《པེ་》《སྣར་》,mཡུན།,,
,,1456,3,《པེ་》《སྣར་》,འཇུག,,
,,1457,4,《པེ་》《སྣར་》,mཡོངས་སུ།,,
,,1458,5,《པེ་》《སྣར་》,mཀྱང་།,,
,288,1459,1,《པེ་》《སྣར་》,བསྟན།,,
,,1460,2,《པེ་》《སྣར་》,mདཔའ་བྱང་ཆུབ་སེམས།,,
,,1461,3,《པེ་》《སྣར་》,འཇོག,,
,,1462,4,《པེ་》《སྣར་》,པོ།,,
,,1463,5,《པེ་》《སྣར་》,བསྒོམ།,,
,,1464,6,《པེ་》《སྣར་》,pནི།,,
,,1465,7,《སྣར་》,པར།,,
,,1466,8,《པེ་》《སྣར་》,པའི།,,
,,1467,9,《སྣར་》,སྦྱོང་།,,
,289,1468,1,《པེ་》《སྣར་》,mམ།,,
,,1469,2,《པེ་》《སྣར་》,mདུ།,,
,290,1470,1,《པེ་》《སྣར་》,pནི།,,
,,1471,2,《པེ་》《སྣར་》,ལ།,,
,,1472,3,《པེ་》《སྣར་》,རྟེན།,,
,,1473,4,《པེ་》《སྣར་》,པོའི།,,
,,1474,5,《པེ་》《སྣར་》,སྒྲུབ་བོ།,,
,,1475,6,《པེ་》《སྣར་》,པོའི།,,
,,1476,7,《པེ་》《སྣར་》,སྒྲུབ་བོ།,,
,,1477,8,《པེ་》《སྣར་》,པ།,,
,,1478,9,《པེ་》《སྣར་》,པོར།,,
,,1479,10,《པེ་》,འབྱང་།,,
,291,1480,1,《པེ་》《སྣར་》,འབྱིང་།,,
,,1481,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,1482,3,《པེ་》《སྣར་》,གཏན་ལ་དབབ།,,
,,1483,4,《པེ་》《སྣར་》,pསྒོ།,,
,,1484,5,《པེ་》《སྣར་》,པ།,,
,,1485,6,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1486,7,《པེ་》《སྣར་》,གེས།,,
,,1487,8,《པེ་》《སྣར་》,བས།,,
,,1488,9,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1489,10,《སྣར་》,mཔ་གཏན།,,
,292,1490,1,《པེ་》《སྣར་》,རྟོག,,
,,1491,2,《པེ་》《སྣར་》,དྲི།,,
,,1492,3,《པེ་》《སྣར་》,དྲི།,,
,,1493,4,《པེ་》《སྣར་》,ཇི།,,
,,1494,5,《པེ་》《སྣར་》,བརྗོད།,,
,,1495,6,《པེ་》《སྣར་》,བརྗོད།,,
,,1496,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1497,8,《པེ་》《སྣར་》,པས།,,
,,1498,9,《པེ་》《སྣར་》,འབེལ།,,
,,1499,10,《པེ་》《སྣར་》,གྱི།,,
,,1500,11,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1501,12,《པེ་》《སྣར་》,འགྲུབ།,,
,,1502,13,《པེ་》《སྣར་》,གཅད།,,
,293,1503,1,《པེ་》《སྣར་》,འཁྱེར།,,
,,1504,2,《པེ་》《སྣར་》,mབཞག་པར།,,
,,1505,3,《པེ་》《སྣར་》,འདུལ།,,
,,1506,4,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1507,5,《པེ་》《སྣར་》,mབ།,,
,,1508,6,《པེ་》《སྣར་》,mཔ།,,
,,1509,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,294,1510,1,《པེ་》,འཐུན།,,
,,1511,2,《པེ་》《སྣར་》,བཅད།,,
,,1512,3,《སྣར་》,སུ་བཅད།,,
,,1513,4,《པེ་》《སྣར་》,བཅད།,,
,,1514,5,《པེ་》《སྣར་》,རྒྱུད།,,
,,1515,6,《པེ་》《སྣར་》,mཔ།,,
,,1516,7,《པེ་》《སྣར་》,mགྱུར་པ།,,
,,1517,8,《པེ་》《སྣར་》,པའི།,,
,295,1518,1,《པེ་》《སྣར་》,mདུ།,,
,,1519,2,《པེ་》《སྣར་》,གཙོད།,,
,,1520,3,《པེ་》《སྣར་》,mཀྱི།,,
,,1521,4,《པེ་》《སྣར་》,རྟོག,,
,,1522,5,《པེ་》《སྣར་》,གཡོར།,,
,,1523,6,《པེ་》《སྣར་》,དྲུག་རྣམ་པར།,,
,,1524,7,《པེ་》《སྣར་》,འཁྲུག,,
,,1525,8,《ཅོ་》,mཆོས།,,
,,1526,9,《པེ་》《སྣར་》,སྒོམ་པས།,,
,,1527,10,《པེ་》《སྣར་》,ལས།,,
,,1528,11,《པེ་》《སྣར་》,མ་བཞག་པ་ལས།,,
,296,1529,1,《པེ་》《སྣར་》,ན་མི་ནི།,,
,,1530,2,《པེ་》《སྣར་》,འབིབས།,,
,,1531,3,《པེ་》《སྣར་》,ལས་རབ་ཉོན།,,
,,1532,4,《པེ་》《སྣར་》,འཐོབ།,,
,,1533,5,《པེ་》《སྣར་》,ཅི།,,
,,1534,6,《པེ་》《སྣར་》,ཅི།,,
,,1535,7,《པེ་》《སྣར་》,ཀྱི།,,
,,1536,8,《པེ་》《སྣར་》,བའོ།,,
,,1537,9,《པེ་》《སྣར་》,mཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པ་ལས།  འབེལ་བའི་གཏམ་རྣམ་པར་ངེས་པར་ཀུན་ལས་བཏུས་པ་ཞེས་བྱ་བ་སྟེ། ཀུན་ལས་བ་ཏུས་པ་ལྔ་པའོ།།  །།,,
,297,1538,1,《པེ་》《སྣར་》,བཏུས།,,
,,1539,2,《པེ་》《སྣར་》,སྷོ།,,
,,1540,3,《པེ་》《སྣར་》,པ།,,
