༢ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
ཕུབ | འབུལ_འདས་པ།_ཐ་དད་པ+འབུབས_འདས་པ།_ཐ་དད་པ+འབུབས_འདས་པ།_###
ཕུབས | འབུབས_སྐུལ་ཚིག_ཐ་དད་པ+འབུབས_སྐུལ་ཚིག_###+འབུལ_སྐུལ་ཚིག_ཐ་དད་པ
ཕུར | འཕུར_སྐུལ་ཚིག_###+འཕུར_འདས་པ།_###+འཕུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཕུར_འདས་པ།_ཐ་མི་དད་པ
ཕེབས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕོ | འབོ_འདས་པ།_ཐ་དད་པ
ཕོག | འབོགས_འདས་པ།_###+འཕོག_འདས་པ།_###+འཕོག_འདས་པ།_ཐ་མི་དད་པ+འབོགས_འདས་པ།_ཐ་དད་པ
ཕོགས | འབོགས_སྐུལ་ཚིག_ཐ་དད་པ+འབོགས_སྐུལ་ཚིག_###
ཕོངས | འཕོངས_འདས་པ།_ཐ་མི་དད་པ
ཕོབ | འབེབས_སྐུལ་ཚིག_ཐ་དད་པ+འབེབས_སྐུལ་ཚིག_###
ཕོས | འབོ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱག | འཕྱག_མ་འོངས་པ།_ཐ་དད་པ
ཕྱགས | འཕྱག_འདས་པ།_ཐ་དད་པ
ཕྱར | འཕྱར_འདས་པ།_###
ཕྱི | འབྱིད_འདས་པ།_ཐ་དད་པ+འབྱིད_འདས་པ།_###
ཕྱིད | འཕྱིད_འདས་པ།_###+འཕྱིད_འདས་པ།_ཐ་མི་དད་པ
ཕྱིན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱིས | འབྱིད_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འབྱིད_སྐུལ་ཚིག_###
ཕྱུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱུང | འབྱིན_འདས་པ།_ཐ་དད་པ+འབྱིན_འདས་པ།_###
ཕྱུངས | འབྱིན_སྐུལ་ཚིག_###+འབྱིན_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱེ | འབྱེད_འདས་པ།_###+འབྱེད_འདས་པ།_ཐ་དད་པ
ཕྱེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཕྱེས | འབྱེད_སྐུལ་ཚིག_###+འབྱེད_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཕྱག_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱོར | འཕྱར_སྐུལ་ཚིག_###
ཕྲལ | འབྲལ_འདས་པ།_ཐ་དད་པ+འཕྲལ_འདས་པ།_ཐ་དད་པ+འཕྲལ_མ་འོངས་པ།_ཐ་དད་པ
ཕྲས | བྱ་ཚིག_ཐ་མི་དད་པ
ཕྲི | འཕྲི_འདས་པ།_ཐ་དད་པ+བྱ་ཚིག_###
ཕྲིས | འབྲི_སྐུལ་ཚིག_ཐ་དད་པ+འཕྲི_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོགས | འཕྲོག_སྐུལ་ཚིག_ཐ་དད་པ+འཕྲོག_འདས་པ།_ཐ་དད་པ
ཕྲོད | འབྲད_སྐུལ་ཚིག_###+འབྲད_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོལ | འབྲལ_སྐུལ་ཚིག_ཐ་དད་པ+འཕྲལ_སྐུལ་ཚིག_ཐ་དད་པ
བཀག | འགོག_འདས་པ།_ཐ་དད་པ+འགོག_འདས་པ།_###
བཀང | འགེངས_འདས་པ།_ཐ་དད་པ
བཀད | འགད_འདས་པ།_###+འགད_འདས་པ།_ཐ་དད་པ
བཀན | བཀན_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀན_འདས་པ།_ཐ་མི་དད་པ+བཀན_ད་ལྟ་བ།_ཐ་མི་དད་པ
བཀབ | འགེབ_འདས་པ།_ཐ་དད་པ+འགེབ_འདས་པ།_###
བཀར | འགེལ_འདས་པ།_ཐ་དད་པ+དགར_འདས་པ།_###+འགེར_འདས་པ།_###+འགེར_འདས་པ།_ཐ་དད་པ
བཀལ | འཁེལ_མ་འོངས་པ།_ཐ་དད་པ+འཁེལ_འདས་པ།_ཐ་དད་པ+འགེལ_འདས་པ།_###+བྱ་ཚིག_ཐ་མི་དད་པ
བཀས | འགས_འདས་པ།_ཐ་དད་པ
བཀུ | བཀུ_མ་འོངས་པ།_ཐ་དད་པ+བཀུ_ད་ལྟ་བ།_ཐ་དད་པ
བཀུག | འགུགས_འདས་པ།_ཐ་དད་པ+འགུགས_འདས་པ།_###
བཀུམ | འགུམ_འདས་པ།_ཐ་དད་པ
བཀུར | བྱ་ཚིག_ཐ་དད་པ
བཀུས | བཀུ_སྐུལ་ཚིག_ཐ་དད་པ+བཀུ_འདས་པ།_ཐ་དད་པ
བཀོང | བཀོང_མ་འོངས་པ།_ཐ་དད་པ+བཀོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀོང_ད་ལྟ་བ།_ཐ་དད་པ+བཀོང_མ་འོངས་པ།_ཐ་མི་དད་པ
བཀོངས | བཀོང_འདས་པ།_ཐ་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོང_འདས་པ།_ཐ་མི་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་དད་པ
བཀོད | འགོད_འདས་པ།_ཐ་དད་པ
བཀོན | འཁོན_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བཀན_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཁོན_མ་འོངས་པ།_ཐ་དད་པ+འཁོན_འདས་པ།_ཐ་དད་པ+འཁོན_འདས་པ།_ཐ་མི་དད་པ
བཀོལ | འཁོལ_མ་འོངས་པ།_###+འཁོལ_འདས་པ།_###+འཁོལ_འདས་པ།_ཐ་དད་པ
བཀྱག | ཁྱོག_མ་འོངས་པ།_ཐ་དད་པ+འགྱོག_མ་འོངས་པ།_ཐ་དད་པ
བཀྱགས | འགྱོག_འདས་པ།_ཐ་དད་པ+ཁྱོག_འདས་པ།_ཐ་དད་པ
བཀྱལ | འཁྱལ_འདས་པ།_ཐ་མི་དད་པ+འཁྱལ_མ་འོངས་པ།_ཐ་མི་དད་པ
བཀྱིག | འཁྱིག_མ་འོངས་པ།_ཐ་དད་པ
བཀྱིགས | འཁྱིག_འདས་པ།_ཐ་དད་པ
བཀྱེ | འགྱེད_མ་འོངས་པ།_ཐ་དད་པ+འགྱེད_མ་འོངས་པ།_###
བཀྱེད | འགྱེད_འདས་པ།_###
བཀྱེས | འགྱེད_འདས་པ།_ཐ་དད་པ+འགྱེད_འདས་པ།_###
བཀྱོན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཀྲབ | འཁྲབ_འདས་པ།_ཐ་དད་པ
བཀྲབས | བྱ་ཚིག_ཐ་དད་པ
བཀྲམ | འགྲེམ_འདས་པ།_ཐ་དད་པ
བཀྲལ | འགྲེལ_འདས་པ།_ཐ་དད་པ
བཀྲི | འཁྲིད_མ་འོངས་པ།_###
བཀྲིས | འཁྲིད_འདས་པ།_###
བཀྲུ | འཁྲུད_མ་འོངས་པ།_ཐ་དད་པ
བཀྲུས | འཁྲུད_འདས་པ།_ཐ་དད་པ
བཀྲེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཀྲོངས | དགྲོང_འདས་པ།_ཐ་དད་པ+དངང_འདས་པ།_ཐ་མི་དད་པ
བཀྲོལ | འགྲོལ_འདས་པ།_ཐ་དད་པ+འཁྲོལ_མ་འོངས་པ།_ཐ་དད་པ+འཁྲོལ_འདས་པ།_###+འཁྲོལ_འདས་པ།_ཐ་དད་པ
བཀླག | ཀློག_མ་འོངས་པ།_ཐ་དད་པ
བཀླགས | ཀློག_འདས་པ།_ཐ་དད་པ
བཀླུབ | ཀླུབ_མ་འོངས་པ།_ཐ་དད་པ
བཀླུབས | ཀླུབ_འདས་པ།_ཐ་དད་པ
བགག | བྱ་ཚིག_ཐ་དད་པ
བགགས | བྱ་ཚིག_###+བྱ་ཚིག_ཐ་དད་པ
བགད | དགོད_མ་འོངས་པ།_ཐ་དད་པ+དགོད_འདས་པ།_ཐ་དད་པ
བགམ | བགམ_ད་ལྟ་བ།_ཐ་དད་པ+བགམ_མ་འོངས་པ།_ཐ་དད་པ
བགམས | བགམ_འདས་པ།_ཐ་དད་པ
བགོ | བགོ_ད་ལྟ་བ།_ཐ་དད་པ+བགོ_མ་འོངས་པ།_ཐ་དད་པ+བགོད_མ་འོངས་པ།_ཐ་དད་པ
བགོད | བགོད_ད་ལྟ་བ།_ཐ་དད་པ+བགོད_སྐུལ་ཚིག_ཐ་དད་པ
བགོམ | འགོམ_མ་འོངས་པ།_ཐ་དད་པ
བགོམས | བགམ_སྐུལ་ཚིག_ཐ་དད་པ+འགོམ_འདས་པ།_ཐ་དད་པ
བགོར | འགོར_སྐུལ་ཚིག_ཐ་དད་པ+འགོར_མ་འོངས་པ།_ཐ་དད་པ+འགོར_འདས་པ།_ཐ་དད་པ
བགོས | བགོ_འདས་པ།_ཐ་དད་པ+བགོད_འདས་པ།_ཐ་དད་པ+བགོ_སྐུལ་ཚིག_ཐ་དད་པ
བགྱང | བགྱང_ད་ལྟ་བ།_ཐ་དད་པ+བགྱང_མ་འོངས་པ།_ཐ་དད་པ
བགྱངས | བགྱང_འདས་པ།_ཐ་དད་པ
བགྱི | བགྱིད_མ་འོངས་པ།_ཐ་དད་པ
བགྱིད | བགྱིད_ད་ལྟ་བ།_ཐ་དད་པ
བགྱིས | བགྱིད_འདས་པ།_ཐ་དད་པ
བགྱོངས | བགྱང_སྐུལ་ཚིག_ཐ་དད་པ
བགྲང | བགྲང_མ་འོངས་པ།_ཐ་དད་པ+བགྲང_ད་ལྟ་བ།_ཐ་དད་པ
བགྲངས | བགྲང_འདས་པ།_ཐ་དད་པ
བགྲད | བགྲུང_འདས་པ།_ཐ་དད་པ+བགྲད_འདས་པ།_###+བགྲུང_ད་ལྟ་བ།_ཐ་དད་པ+བགྲད_འདས་པ།_ཐ་མི་དད་པ+བགྲད_ད་ལྟ་བ།_###+བགྲུང_མ་འོངས་པ།_ཐ་དད་པ+བགྲད_མ་འོངས་པ།_###+བགྲད_ད་ལྟ་བ།_ཐ་མི་དད་པ+བགྲད_མ་འོངས་པ།_ཐ་མི་དད་པ
བགྲིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བགྲུ | བགྲུད_མ་འོངས་པ།_ཐ་དད་པ
བགྲུད | བགྲུད_ད་ལྟ་བ།_ཐ་དད་པ
བགྲུས | བགྲུད_སྐུལ་ཚིག_ཐ་དད་པ+བགྲུད_འདས་པ།_ཐ་དད་པ
བགྲེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བགྲོ | བགྲོ_མ་འོངས་པ།_ཐ་དད་པ+བགྲོ_ད་ལྟ་བ།_ཐ་དད་པ
བགྲོང | དགྲོང_མ་འོངས་པ།_ཐ་དད་པ+དངང_མ་འོངས་པ།_ཐ་མི་དད་པ
བགྲོངས | བགྲང_སྐུལ་ཚིག_ཐ་དད་པ
བགྲོད | བགྲད_སྐུལ་ཚིག_ཐ་མི་དད་པ+བགྲད_སྐུལ་ཚིག_###+བགྲུང_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བགྲོས | བགྲོ_འདས་པ།_ཐ་དད་པ+བགྲོ_སྐུལ་ཚིག_ཐ་དད་པ
བང | བང_མ་འོངས་པ།_ཐ་མི་དད་པ+བང_ད་ལྟ་བ།_ཐ་མི་དད་པ
བངས | བང_འདས་པ།_ཐ་མི་དད་པ
བཅག | གཅོག_འདས་པ།_###+འཇག_འདས་པ།_ཐ་དད་པ+འཆག_མ་འོངས་པ།_###+གཅོག_འདས་པ།_ཐ་དད་པ
བཅགས | འཆག_འདས་པ།_###
བཅང | འཆང_མ་འོངས་པ།_###+འཆང_མ་འོངས་པ།_ཐ་དད་པ
བཅངས | འཆང_འདས་པ།_###+འཆང_འདས་པ།_ཐ་དད་པ
བཅད | གཅོད_འདས་པ།_ཐ་མི་དད་པ+གཅོད_འདས་པ།_###+གཅོད_འདས་པ།_ཐ་དད་པ
བཅབ | འཆབ_མ་འོངས་པ།_ཐ་དད་པ
བཅབས | འཆབ_འདས་པ།_ཐ་དད་པ
བཅམས | གཅོམ_འདས་པ།_ཐ་དད་པ
བཅའ | འཆའ_མ་འོངས་པ།_ཐ་དད་པ+འཆའ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆའ_མ་འོངས་པ།_###
བཅར | གཅར_འདས་པ།_###+གཅར_འདས་པ།_ཐ་མི་དད་པ
བཅལ | འཇལ_འདས་པ།_###+འཇལ_འདས་པ།_ཐ་དད་པ
བཅས | འཆའ_འདས་པ།_ཐ་དད་པ+འཆའ_འདས་པ།_ཐ་མི་དད་པ+འཆའ_འདས་པ།_###
བཅིང | འཆིང_མ་འོངས་པ།_ཐ་དད་པ
བཅིངས | འཆིང_འདས་པ།_ཐ་དད་པ
བཅིབ | འཆིབ_མ་འོངས་པ།_ཐ་དད་པ
བཅིབས | འཆིབ_འདས་པ།_ཐ་དད་པ
བཅིར | འཆིར_འདས་པ།_ཐ་དད་པ+འཆིར_འདས་པ།_###
བཅིལ | འཇིལ_འདས་པ།_ཐ་དད་པ
བཅུ | འཆུ_མ་འོངས་པ།_ཐ་དད་པ+འཆུ_མ་འོངས་པ།_###
བཅུག | འཇུག_འདས་པ།_ཐ་དད་པ
བཅུན | འཇུན_འདས་པ།_ཐ་དད་པ+འཆུན_འདས་པ།_ཐ་དད་པ
བཅུམ | འཇུམ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཇུམ_མ་འོངས་པ།_ཐ་དད་པ
བཅུམས | འཇུམ_འདས་པ།_ཐ་དད་པ+འཇུམ_འདས་པ།_ཐ་མི་དད་པ
བཅུར | འཇུར_འདས་པ།_###+འཇུར_འདས་པ།_ཐ་དད་པ
བཅུས | འཆུ_འདས་པ།_ཐ་དད་པ
བཅེམ | ཅེམ_མ་འོངས་པ།_ཐ་དད་པ
བཅེམས | ཅེམ_འདས་པ།_ཐ་དད་པ
བཅོམ | གཅོམ_མ་འོངས་པ།_ཐ་དད་པ+འཇོམས_འདས་པ།_ཐ་དད་པ
བཅོལ | འཆོལ_འདས་པ།_ཐ་དད་པ+འཆོལ_འདས་པ།_###+འཆོལ_མ་འོངས་པ།_###+འཆོལ_མ་འོངས་པ།_ཐ་དད་པ
བཅོས | འཆོས_མ་འོངས་པ།_ཐ་དད་པ+འཆོས_འདས་པ།_###+འཆོས_འདས་པ།_ཐ་དད་པ+འཆོས_མ་འོངས་པ།_###
བཏག | འཐག_མ་འོངས་པ།_ཐ་དད་པ+འཐག_མ་འོངས་པ།_###+འདོག_འདས་པ།_ཐ་དད་པ+འཐག_མ་འོངས་པ།_ཐ་མི་དད་པ
བཏགས | འདོགས_འདས་པ།_ཐ་དད་པ+འཐག_འདས་པ།_ཐ་དད་པ+འཐག_འདས་པ།_###+འཐག_འདས་པ།_ཐ་མི་དད་པ+འདོགས_འདས་པ།_###
བཏང | གཏོང_འདས་པ།_###+གཏོང_འདས་པ།_ཐ་དད་པ
བཏབ | འདེབས_འདས་པ།_ཐ་དད་པ+འདེབས_འདས་པ།_###
བཏམ | འདམ_མ་འོངས་པ།_ཐ་དད་པ
བཏམས | འདམ_འདས་པ།_ཐ་དད་པ
བཏིག | གཏིག_མ་འོངས་པ།_ཐ་དད་པ
བཏིགས | གཏིག_འདས་པ།_ཐ་དད་པ
བཏུ | འཐུ_མ་འོངས་པ།_ཐ་དད་པ
བཏུང | འཐུང_མ་འོངས་པ།_ཐ་དད་པ
བཏུངས | འཐུང_འདས་པ།_ཐ་དད་པ
བཏུད | འདུད_འདས་པ།_ཐ་དད་པ
བཏུབ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཏུམ | འཐུམ_འདས་པ།_ཐ་དད་པ
བཏུལ | འདུལ_འདས་པ།_###+འདུལ_འདས་པ།_ཐ་དད་པ
བཏུས | འཐུ_འདས་པ།_ཐ་དད་པ
བཏེག | ཐེག_མ་འོངས་པ།_ཐ་མི་དད་པ+འདེགས_འདས་པ།_ཐ་དད་པ
བཏེགས | ཐེག_འདས་པ།_ཐ་མི་དད་པ
བཏོག | འཐོག_མ་འོངས་པ།_ཐ་དད་པ+འཐོག_མ་འོངས་པ།_###
བཏོགས | འཐོག_འདས་པ།_ཐ་དད་པ+འཐོག_འདས་པ།_###
བཏོད | གཏོད_འདས་པ།_###+འདོད_འདས་པ།_###
བཏོན | འདོན_འདས་པ།_ཐ་དད་པ+འདོན_འདས་པ།_###
བཏོལ | བྱ་ཚིག_ཐ་དད་པ
བད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བདག | བྱ་ཚིག_###
བདམ | འདེམ_འདས་པ།_ཐ་དད་པ+བདམ_མ་འོངས་པ།_###+བདམ_ད་ལྟ་བ།_###
བདམས | བདམ_སྐུལ་ཚིག_###+བདམ_འདས་པ།_###
བདའ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+འདེད_མ་འོངས་པ།_###
བདར | བདར_མ་འོངས་པ།_ཐ་དད་པ+བདར_འདས་པ།_###+བདར_ད་ལྟ་བ།_ཐ་དད་པ+བདར_མ་འོངས་པ།_###+བདར_ད་ལྟ་བ།_###+བདར_འདས་པ།_ཐ་དད་པ
བདལ | གདལ_མ་འོངས་པ།_###+གདལ_འདས་པ།_###+གདལ_མ་འོངས་པ།_ཐ་དད་པ+གདལ_འདས་པ།_ཐ་དད་པ
བདས | འདེད_འདས་པ།_###
བདུག | གདུག_མ་འོངས་པ།_ཐ་དད་པ
བདུགས | གདུག_འདས་པ།_ཐ་དད་པ
བདུང | བདུང_ད་ལྟ་བ།_ཐ་དད་པ+བདུང_མ་འོངས་པ།_ཐ་དད་པ
བདུངས | བདུང_སྐུལ་ཚིག_ཐ་དད་པ+བདུང_འདས་པ།_ཐ་དད་པ
བདོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བདོད | བྱ་ཚིག_ཐ་དད་པ
བདོར | བདར_སྐུལ་ཚིག_ཐ་དད་པ+བདར_སྐུལ་ཚིག_###
བབས | འབབ_འདས་པ།_ཐ་མི་དད་པ+འབབ_འདས་པ།_###
བཙག | འཚག_འདས་པ།_ཐ་དད་པ
བཙང | འཚང_མ་འོངས་པ།_ཐ་མི་དད་པ+འཚང_མ་འོངས་པ།_ཐ་དད་པ
བཙངས | འཚང_འདས་པ།_ཐ་མི་དད་པ+འཚང_འདས་པ།_ཐ་དད་པ
བཙབ | བྱ་ཚིག_ཐ་དད་པ
བཙབས | བྱ་ཚིག_ཐ་དད་པ
བཙའ | བཙའ_མ་འོངས་པ།_ཐ་མི་དད་པ+བཙའ_ད་ལྟ་བ།_ཐ་མི་དད་པ
བཙལ | འཚོལ_འདས་པ།_ཐ་དད་པ+འཚོལ_མ་འོངས་པ།_ཐ་དད་པ+འཚོལ_མ་འོངས་པ།_###+འཚོལ_འདས་པ།_###
བཙས | བཙའ_འདས་པ།_ཐ་མི་དད་པ
བཙིར | འཚིར_འདས་པ།_ཐ་དད་པ+འཚིར_མ་འོངས་པ།_ཐ་དད་པ
བཙུགས | འཛུད_འདས་པ།_ཐ་དད་པ+འཛུགས_འདས་པ།_###+འཛུགས_འདས་པ།_ཐ་དད་པ
བཙུམ | འཚུམ_མ་འོངས་པ།_ཐ་དད་པ
བཙུམས | འཚུམ_འདས་པ།_ཐ་དད་པ
བཙེམ | འཚེམ_མ་འོངས་པ།_ཐ་དད་པ
བཙེམས | འཚེམ_འདས་པ།_ཐ་དད་པ
བཙེས | བྱ་ཚིག_ཐ་དད་པ
བཙོ | འཚོད_མ་འོངས་པ།_###+འཚོད_མ་འོངས་པ།_ཐ་དད་པ
བཙོག | འཚོག_འདས་པ།_ཐ་དད་པ
བཙོགས | བྱ་ཚིག_ཐ་དད་པ
བཙོང | འཚོང_མ་འོངས་པ།_ཐ་དད་པ
བཙོངས | འཚོང_འདས་པ།_ཐ་དད་པ
བཙོས | འཚོད_འདས་པ།_ཐ་དད་པ+འཚོད_འདས་པ།_###
བཞག | འཇོག_འདས་པ།_ཐ་དད་པ+འཇོག_འདས་པ།_###
བཞགས | བྱ་ཚིག_ཐ་དད་པ
བཞད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བཞབ | འཇབ_འདས་པ།_ཐ་དད་པ+གཞབ_འདས་པ།_###
བཞམས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཞར | གཞར_འདས་པ།_ཐ་དད་པ+གཞར_མ་འོངས་པ།_ཐ་དད་པ+གཞར_མ་འོངས་པ།_###+གཞར_འདས་པ།_###
བཞིབ | འཇིབ_འདས་པ།_ཐ་དད་པ
བཞུ | བཞུ_མ་འོངས་པ།_ཐ་དད་པ+བཟར_མ་འོངས་པ།_ཐ་དད་པ+བཞུ_ད་ལྟ་བ།_ཐ་དད་པ+བཟར_ད་ལྟ་བ།_ཐ་དད་པ+འཇུ_མ་འོངས་པ།_###
བཞུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཞུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཞུར | གཞུར_འདས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཞུས | བཞུ_འདས་པ།_ཐ་དད་པ+འཇུ_སྐུལ་ཚིག_###+འཇུ_འདས་པ།_###+བྱ་ཚིག_###+བཟར_འདས་པ།_ཐ་དད་པ
བཞེངས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཞེད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཞེན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཞེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བཞོ | འཇོ_མ་འོངས་པ།_ཐ་དད་པ
བཞོག | གཞོག_འདས་པ།_ཐ་དད་པ
བཞོན | ཞོན_མ་འོངས་པ།_ཐ་དད་པ+ཞོན_འདས་པ།_ཐ་དད་པ
བཞོར | གཞར_སྐུལ་ཚིག_ཐ་དད་པ+གཞར_སྐུལ་ཚིག_###
བཞོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཞོས | འཇོ_འདས་པ།_ཐ་དད་པ
བཟབས | གཟབ_འདས་པ།_ཐ་དད་པ
བཟའ | ཟ_མ་འོངས་པ།_ཐ་དད་པ
བཟར | འཛར_འདས་པ།_ཐ་དད་པ
བཟས | ཟ_འདས་པ།_ཐ་དད་པ
བཟི | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བཟུང | འཛིན_འདས་པ།_###+འཛིན_འདས་པ།_ཐ་དད་པ
བཟུར | འཛུར_འདས་པ།_ཐ་མི་དད་པ
བཟེག | བྱ་ཚིག_ཐ་དད་པ
བཟེད | འཛེད_འདས་པ།_ཐ་དད་པ
བཟོ | བཟོ_ད་ལྟ་བ།_ཐ་དད་པ+བརྗེད_མ་འོངས་པ།_###+བརྐོ_མ་འོངས་པ།_ཐ་དད་པ+བཟོ_མ་འོངས་པ།_ཐ་དད་པ+བརྗེད_ད་ལྟ་བ།_###+བརྐོ_ད་ལྟ་བ།_ཐ་དད་པ
བཟོད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
བཟོས | བརྗེད_སྐུལ་ཚིག_###+བཟོ_སྐུལ་ཚིག_ཐ་དད་པ+བརྐོ_འདས་པ།_ཐ་དད་པ+བརྗེད_འདས་པ།_###+བཟོ_འདས་པ།_ཐ་དད་པ+བརྐོ_སྐུལ་ཚིག_ཐ་དད་པ
བཟླ | ཟློ_མ་འོངས་པ།_ཐ་དད་པ+ཟློ_མ་འོངས་པ།_###
བཟླས | ཟློ_འདས་པ།_ཐ་དད་པ+ཟློ_འདས་པ།_###
བཟླུག | ཟླུམ_མ་འོངས་པ།_ཐ་དད་པ+ཟླུག_མ་འོངས་པ།_ཐ་དད་པ
བཟླུགས | ཟླུམ_འདས་པ།_ཐ་དད་པ+ཟླུག_འདས་པ།_ཐ་དད་པ
བཟློ | ཟློ_མ་འོངས་པ།_###
བཟློག | ཟློག_མ་འོངས་པ།_ཐ་དད་པ+ཟློག_མ་འོངས་པ།_###
བཟློགས | ཟློག_འདས་པ།_ཐ་དད་པ+ཟློག_འདས་པ།_###
བརྐམ | རྐམ_མ་འོངས་པ།_ཐ་མི་དད་པ
བརྐམས | རྐམ_འདས་པ།_ཐ་མི་དད་པ
བརྐུ | རྐུ_མ་འོངས་པ།_ཐ་དད་པ
བརྐུས | རྐུ_འདས་པ།_ཐ་དད་པ
བརྐོ | རྐོ_མ་འོངས་པ།_ཐ་དད་པ
བརྐོས | རྐོ_འདས་པ།_ཐ་དད་པ
བརྐྱང | རྐྱོང_མ་འོངས་པ།_ཐ་དད་པ
བརྐྱངས | རྐྱོང_འདས་པ།_ཐ་དད་པ
བརྒད | བྱ་ཚིག_ཐ་དད་པ
བརྒལ | རྒལ_མ་འོངས་པ།_ཐ་མི་དད་པ+རྒལ_འདས་པ།_ཐ་མི་དད་པ+རྒལ_འདས་པ།_ཐ་དད་པ+རྒལ_མ་འོངས་པ།_ཐ་དད་པ+རྒལ_འདས་པ།_###+རྒལ_མ་འོངས་པ།_###
བརྒྱག | རྒྱག_མ་འོངས་པ།_ཐ་དད་པ+རྒྱགས_མ་འོངས་པ།_ཐ་མི་དད་པ+རྒྱག_མ་འོངས་པ།_###+རྒྱགས_མ་འོངས་པ།_###
བརྒྱགས | རྒྱག_འདས་པ།_###+རྒྱགས_འདས་པ།_ཐ་མི་དད་པ+རྒྱགས_འདས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བརྒྱང | རྒྱོང_མ་འོངས་པ།_ཐ་མི་དད་པ
བརྒྱངས | རྒྱོང_འདས་པ།_ཐ་མི་དད་པ
བརྒྱན | རྒྱན_འདས་པ།_ཐ་དད་པ+རྒྱན_མ་འོངས་པ།_ཐ་དད་པ
བརྒྱབ | རྒྱག_འདས་པ།_###+རྒྱག_འདས་པ།_ཐ་དད་པ
བརྒྱལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བརྒྱུག | རྒྱུག_མ་འོངས་པ།_ཐ་མི་དད་པ+རྒྱུག_མ་འོངས་པ།_###
བརྒྱུགས | རྒྱུག_འདས་པ།_ཐ་མི་དད་པ+རྒྱུག_འདས་པ།_###
བརྒྱུང | རྒྱུང_མ་འོངས་པ།_ཐ་དད་པ
བརྒྱུངས | རྒྱུང_འདས་པ།_ཐ་དད་པ
བརྒྱུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
བརྒྱོ | རྒྱོ_མ་འོངས་པ།_ཐ་དད་པ
བརྒྱོས | རྒྱོ_འདས་པ།_ཐ་དད་པ
བརྔ | རྔ_མ་འོངས་པ།_ཐ་དད་པ
བརྔད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
