ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
དམྱུགས | དམྱུགས_སྐུལ་ཚིག_ཐ་མི་དད་པ+དམྱུག_འདས་པ།_###+དམྱུག_སྐུལ་ཚིག_###+དམྱུག_སྐུལ་ཚིག_ཐ་དད་པ+དམྱུག_འདས་པ།_ཐ་དད་པ+དམྱུགས_སྐུལ་ཚིག_ཐ་དད་པ+དམྱུག_སྐུལ་ཚིག_ཐ་མི་དད་པ+དམྱུགས_འདས་པ།_ཐ་དད་པ+དམྱུག_འདས་པ།_ཐ་མི་དད་པ+དམྱུགས_འདས་པ།_ཐ་མི་དད་པ
དར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུགས | བདུགས_སྐུལ་ཚིག_ཐ་དད་པ+གདུག_སྐུལ་ཚིག_ཐ་དད་པ+དུགས_སྐུལ་ཚིག_ཐ་དད་པ+བདུག_སྐུལ་ཚིག_ཐ་དད་པ
དུང | བྱ་ཚིག_###+དུང_མ་འོངས་པ།_ཐ་མི་དད་པ+དུངས_མ་འོངས་པ།_ཐ་མི་དད་པ+དུངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+དུང_ད་ལྟ་བ།_ཐ་མི་དད་པ
དུངས | དུང_འདས་པ།_ཐ་མི་དད་པ+དུངས_འདས་པ།_ཐ་མི་དད་པ
དུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དུམ | དུམ_འདས་པ།_ཐ་དད་པ+དུམ_ད་ལྟ་བ།_ཐ་དད་པ+དུམ_མ་འོངས་པ།_ཐ་དད་པ
དེངས | དེངས_འདས་པ།_ཐ་མི་དད་པ+འདོང_འདས་པ།_ཐ་མི་དད་པ+འདོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+དེངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_###
དེད | དེད_སྐུལ་ཚིག_ཐ་དད་པ+བདའ_སྐུལ་ཚིག_ཐ་དད་པ+འདེད_འདས་པ།_###+འདེད_སྐུལ་ཚིག_ཐ་དད་པ+འདེད_སྐུལ་ཚིག_###+དེད_སྐུལ་ཚིག_###+བདས_སྐུལ་ཚིག_ཐ་དད་པ+དེད_འདས་པ།_###+འདེད_འདས་པ།_ཐ་དད་པ
དོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དོང | བྱ་ཚིག_ཐ་མི་དད་པ
དོངས | འདོང_སྐུལཚིག_འབྲི་ཚུལ
དོད | བཏོད_སྐུལཚིག_འབྲི་ཚུལ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དོར | དོར_སྐུལ་ཚིག_ཐ་དད་པ+དོར_འདས་པ།_ཐ་དད་པ+དོར_མ་འོངས་པ།_ཐ་དད་པ+འདོར_འདས་པ།_ཐ་དད་པ+འདོར_མ་འོངས་པ།_ཐ་དད་པ+འདོར_སྐུལ་ཚིག_ཐ་དད་པ
དྭངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲ | དྲ_མ་འོངས་པ།_ཐ་དད་པ+དྲས_མ་འོངས་པ།_ཐ་དད་པ+དྲོས_མ་འོངས་པ།_ཐ་དད་པ+འདྲ_མ་འོངས་པ།_ཐ་དད་པ
དྲག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲང | འདྲེན_མ་འོངས་པ།_###+དྲངས_མ་འོངས་པ།_ཐ་དད་པ+དྲང_མ་འོངས་པ།_ཐ་དད་པ+འདྲེན_མ་འོངས་པ།_ཐ་དད་པ+དྲོངས_མ་འོངས་པ།_ཐ་དད་པ
དྲངས | དྲོངས_འདས་པ།_ཐ་དད་པ+དྲངས_འདས་པ།_ཐ་དད་པ+འདྲེན_འདས་པ།_###+དྲང_འདས་པ།_ཐ་དད་པ+འདྲེན_འདས་པ།_ཐ་དད་པ
དྲན | དྲོན_ད་ལྟ་བ།_ཐ་དད་པ+དྲན_འདས་པ།_###+དྲོན_མ་འོངས་པ།_ཐ་དད་པ+དྲན_ད་ལྟ་བ།_###+དྲན_མ་འོངས་པ།_ཐ་དད་པ+དྲོན_འདས་པ།_ཐ་དད་པ+དྲན_ད་ལྟ་བ།_ཐ་དད་པ+དྲན_མ་འོངས་པ།_###+དྲན_འདས་པ།_ཐ་དད་པ
དྲལ | འདྲལ_མ་འོངས་པ།_ཐ་མི་དད་པ+དྲལ_འདས་པ།_ཐ་མི་དད་པ+དྲལ_མ་འོངས་པ།_ཐ་མི་དད་པ+འདྲལ_འདས་པ།_ཐ་མི་དད་པ
དྲས | དྲོས_འདས་པ།_ཐ་དད་པ+འདྲ_འདས་པ།_ཐ་དད་པ+དྲས_འདས་པ།_ཐ་དད་པ+དྲ_འདས་པ།_ཐ་དད་པ
དྲི | དྲི_མ་འོངས་པ།_ཐ་དད་པ+འདྲི_མ་འོངས་པ།_ཐ་དད་པ+དྲིས_མ་འོངས་པ།_ཐ་དད་པ
དྲིལ | འདྲིལ_མ་འོངས་པ།_###+འདྲིལ_འདས་པ།_ཐ་དད་པ+འདྲིལ_སྐུལ་ཚིག_###+འདྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+དྲིལ_མ་འོངས་པ།_ཐ་དད་པ+དྲིལ_འདས་པ།_ཐ་དད་པ+དྲིལ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲིལ_མ་འོངས་པ།_ཐ་དད་པ+འདྲིལ_འདས་པ།_###
དྲིས | འདྲི_སྐུལ་ཚིག_ཐ་དད་པ+འདྲི_འདས་པ།_ཐ་དད་པ+དྲི_འདས་པ།_ཐ་དད་པ+དྲི_སྐུལ་ཚིག_ཐ་དད་པ+དྲིས_སྐུལ་ཚིག_ཐ་དད་པ+དྲིས_འདས་པ།_ཐ་དད་པ
དྲུད | དྲུད_འདས་པ།_ཐ་མི་དད་པ+འདྲུད_འདས་པ།_ཐ་མི་དད་པ+འདྲུད_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུད_འདས་པ།_ཐ་དད་པ+དྲུད_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུད_སྐུལ་ཚིག_ཐ་མི་དད་པ+དྲུད_འདས་པ།_ཐ་དད་པ+དྲུད_སྐུལ་ཚིག_ཐ་མི་དད་པ
དྲུབ | དྲུབ_མ་འོངས་པ།_ཐ་དད་པ+དྲུབས_མ་འོངས་པ།_ཐ་དད་པ
དྲུབས | དྲུབས_འདས་པ།_ཐ་དད་པ+དྲུབས_འདས་པ།_ཐ་མི་དད་པ+དྲུབས_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུབ_འདས་པ།_ཐ་མི་དད་པ+དྲུབ_འདས་པ།_ཐ་དད་པ+འདྲུབ_འདས་པ།_ཐ་དད་པ+དྲུབ_སྐུལ་ཚིག_ཐ་དད་པ+འདྲུབ_སྐུལ་ཚིག_ཐ་དད་པ+དྲུབས_སྐུལ་ཚིག_ཐ་མི་དད་པ
དྲུམས | བྱ་ཚིག_###+གྲུམས_འབྲི་ཚུལ
དྲུལ | འདྲུལ_འདས་པ།_ཐ་མི་དད་པ+འདྲུལ_འདས་པ།_ཐ་དད་པ+འདྲུལ_སྐུལ་ཚིག_ཐ་དད་པ+དྲུལ_འདས་པ།_ཐ་དད་པ+དྲུལ_སྐུལ་ཚིག_ཐ་དད་པ
དྲུས | འདྲུ_སྐུལ་ཚིག_ཐ་དད་པ+དྲུས_སྐུལ་ཚིག_ཐ་དད་པ+དྲུས_འདས་པ།_ཐ་དད་པ+འདྲུ_འདས་པ།_ཐ་དད་པ
དྲེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
དྲོ | དྲོ_ད་ལྟ་བ།_ཐ་མི་དད་པ+དྲོ_མ་འོངས་པ།_ཐ་མི་དད་པ
དྲོངས | འདྲེན_སྐུལ་ཚིག_###+དྲངས_སྐུལ་ཚིག_ཐ་དད་པ+དྲོངས_སྐུལ་ཚིག_ཐ་དད་པ+འདྲེན_སྐུལ་ཚིག_ཐ་དད་པ+དྲང_སྐུལ་ཚིག_ཐ་དད་པ
དྲོན | དྲན_སྐུལ་ཚིག_ཐ་དད་པ+དྲན_སྐུལ་ཚིག_###+དྲོན_སྐུལ་ཚིག_ཐ་དད་པ
དྲོལ | དྲལ_སྐུལ་ཚིག_ཐ་མི་དད་པ
དྲོས | དྲས_སྐུལ་ཚིག_ཐ་དད་པ+དྲོས_སྐུལ་ཚིག_ཐ་དད་པ+དྲོ_འདས་པ།_ཐ་མི་དད་པ+འདྲ_སྐུལ་ཚིག_ཐ་དད་པ+དྲ_སྐུལ་ཚིག_ཐ་དད་པ
ན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ནབ | མནབ_ད་ལྟ་བ།_ཐ་དད་པ+ནོབས_ད་ལྟ་བ།_ཐ་དད་པ+མནབས_ད་ལྟ་བ།_ཐ་དད་པ+ནབ_ད་ལྟ་བ།_ཐ་དད་པ
ནུ | ནུས_མ་འོངས་པ།_ཐ་དད་པ+ནུས_ད་ལྟ་བ།_ཐ་དད་པ
ནུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
ནུབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནུས | ནུས_སྐུལ་ཚིག_ཐ་དད་པ+ནུས_འདས་པ།_ཐ་དད་པ
ནོགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
ནོངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནོད | མནོས_ད་ལྟ་བ།_ཐ་དད་པ+མནོད_ད་ལྟ་བ།_ཐ་དད་པ+ནོད_ད་ལྟ་བ།_ཐ་དད་པ+གནོས_ད་ལྟ་བ།_ཐ་དད་པ
ནོན | མནན_སྐུལ་ཚིག_ཐ་དད་པ+གནོན_སྐུལ་ཚིག_ཐ་དད་པ+ནོན_སྐུལ་ཚིག_ཐ་དད་པ+གནན_སྐུལ་ཚིག_ཐ་དད་པ
ནོབས | ནོབས_སྐུལ་ཚིག_ཐ་དད་པ+མནབ_སྐུལ་ཚིག_ཐ་དད་པ+ནབ_སྐུལ་ཚིག_ཐ་དད་པ+མནབས_སྐུལ་ཚིག_ཐ་དད་པ
ནོམ | ནོམ_ད་ལྟ་བ།_###+ནོམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ནོམ_ད་ལྟ་བ།_ཐ་དད་པ+ནོམས_ད་ལྟ་བ།_ཐ་དད་པ+མནམ_ད་ལྟ་བ།_ཐ་དད་པ+མནམས_ད་ལྟ་བ།_ཐ་དད་པ+མནམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+མནམས_ད་ལྟ་བ།_ཐ་མི་དད་པ
ནོམས | ནོམས_སྐུལ་ཚིག_ཐ་དད་པ+མནམ_སྐུལ་ཚིག_ཐ་མི་དད་པ+ནོམ_སྐུལ་ཚིག_ཐ་མི་དད་པ+མནམས_སྐུལ་ཚིག_ཐ་དད་པ+ནོམ_སྐུལ་ཚིག_ཐ་དད་པ+ནོམ_སྐུལ་ཚིག_###+མནམས_སྐུལ་ཚིག_ཐ་མི་དད་པ+མནམ_སྐུལ་ཚིག_ཐ་དད་པ
ནོར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ནོལ | མནོལ_འབྲི་ཚུལ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ནོས | མནོས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ+བྱ་ཚིག_###+གནོས_འབྲི་ཚུལ
ཕངས | བྱ་ཚིག_###+བྱ་ཚིག_ཐ་མི་དད་པ
ཕན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཕབ | འབེབས_འདས་པ།_ཐ་དད་པ+དབབ_འདས་པ།_ཐ་དད་པ+ཕོབ_འདས་པ།_ཐ་དད་པ+ཕབ_འདས་པ།_ཐ་དད་པ+འབེབས_འདས་པ།_###
ཕམ | ཕམ_འདས་པ།_ཐ་མི་དད་པ+འཕམ_འདས་པ།_ཐ་མི་དད་པ
ཕིག | ཕིག_འདས་པ།_ཐ་དད་པ+དབུག_འདས་པ།_ཐ་དད་པ+ཕིགས_འདས་པ།_ཐ་དད་པ
ཕིགས | ཕིག_སྐུལ་ཚིག_ཐ་དད་པ+ཕིགས_སྐུལ་ཚིག_ཐ་དད་པ+འབིག_སྐུལ་ཚིག_ཐ་དད་པ+དབུག_སྐུལ་ཚིག_ཐ་དད་པ
ཕུག | འབིག_འདས་པ།_ཐ་དད་པ+ཕིག_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་དད་པ
ཕུགས | འབིག_སྐུལཚིག_འབྲི་ཚུལ
ཕུང | ཕུང_འདས་པ།_ཐ་དད་པ+འཕུང_འདས་པ།_ཐ་དད་པ
ཕུད | འཕུད_འདས་པ།_###+ཕུད_འདས་པ།_ཐ་དད་པ+འཕུད_སྐུལ་ཚིག_ཐ་དད་པ+འཕུད_སྐུལ་ཚིག_###+ཕུད_སྐུལ་ཚིག_ཐ་དད་པ+འཕུད_འདས་པ།_ཐ་དད་པ
ཕུབ | ཕུབ_འདས་པ།_ཐ་དད་པ+འབུབས_འདས་པ།_ཐ་དད་པ+དབུབ_འདས་པ།_ཐ་དད་པ+འབུབས_འདས་པ།_###+ཕུབས_འདས་པ།_ཐ་དད་པ
ཕུབས | ཕུབས_སྐུལ་ཚིག_ཐ་དད་པ+དབུབ_སྐུལ་ཚིག_ཐ་དད་པ+འབུབས_སྐུལ་ཚིག_###+འབུབས_སྐུལ་ཚིག_ཐ་དད་པ+ཕུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཕུར | ཕུར_འདས་པ།_ཐ་མི་དད་པ+འཕུར_འདས་པ།_ཐ་མི་དད་པ+འཕུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+ཕུར_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཕུར_སྐུལ་ཚིག_###+འཕུར_འདས་པ།_###
ཕུལ | ཕུལ_སྐུལ་ཚིག_ཐ་དད་པ+ཕུལ_འདས་པ།_ཐ་དད་པ+དབུལ_སྐུལ་ཚིག_ཐ་དད་པ+དབུལ_འདས་པ།_ཐ་དད་པ+འབུལ_འདས་པ།_ཐ་དད་པ
ཕེབས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕོ | འབོ_འདས་པ།_ཐ་དད་པ+ཕོ_འདས་པ།_ཐ་དད་པ+ཕོས_འདས་པ།_ཐ་དད་པ+དབོ_འདས་པ།_ཐ་དད་པ
ཕོག | འབོགས_འདས་པ།_###+འབོགས_འདས་པ།_ཐ་དད་པ+དབོག_འདས་པ།_ཐ་དད་པ+འཕོག_འདས་པ།_ཐ་མི་དད་པ+ཕོག_འདས་པ།_ཐ་མི་དད་པ+འཕོག_འདས་པ།_###
ཕོགས | འབོགས_སྐུལ་ཚིག_ཐ་དད་པ+འབོགས_སྐུལ་ཚིག_###+དབོག_སྐུལ་ཚིག_ཐ་དད་པ
ཕོངས | འཕོངས_འདས་པ།_ཐ་མི་དད་པ+ཕོངས_འདས་པ།_ཐ་མི་དད་པ
ཕོབ | ཕབ_སྐུལ་ཚིག_ཐ་དད་པ+དབབ_སྐུལ་ཚིག_ཐ་དད་པ+ཕོབ_སྐུལ་ཚིག_ཐ་དད་པ+འབེབས_སྐུལ་ཚིག_ཐ་དད་པ+འབེབས_སྐུལ་ཚིག_###
ཕོས | དབོ_སྐུལ་ཚིག_ཐ་དད་པ+ཕོ_སྐུལ་ཚིག_ཐ་དད་པ+ཕོས_སྐུལ་ཚིག_ཐ་དད་པ+འབོ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱག | ཕྱགས_མ་འོངས་པ།_ཐ་དད་པ+འཕྱོགས_མ་འོངས་པ།_ཐ་དད་པ+ཕྱོགས_མ་འོངས་པ།_ཐ་དད་པ+ཕྱག_མ་འོངས་པ།_ཐ་དད་པ+འཕྱག_མ་འོངས་པ།_ཐ་དད་པ
ཕྱགས | ཕྱག_འདས་པ།_ཐ་དད་པ+འཕྱོགས_འདས་པ།_ཐ་དད་པ+འཕྱག_འདས་པ།_ཐ་དད་པ+ཕྱགས_འདས་པ།_ཐ་དད་པ+ཕྱོགས_འདས་པ།_ཐ་དད་པ
ཕྱར | ཕྱར_འདས་པ།_ཐ་དད་པ+ཕྱར_མ་འོངས་པ།_ཐ་དད་པ+འཕྱར_འདས་པ།_###+འཕྱར_མ་འོངས་པ།_ཐ་དད་པ+ཕྱོར_འདས་པ།_ཐ་དད་པ+འཕྱར_འདས་པ།_ཐ་དད་པ+ཕྱོར_མ་འོངས་པ།_ཐ་དད་པ
ཕྱི | དབྱི_འདས་པ།_ཐ་དད་པ+ཕྱི_འདས་པ།_ཐ་དད་པ+འབྱིད_འདས་པ།_ཐ་དད་པ+ཕྱིས_འདས་པ།_ཐ་དད་པ+འབྱིད_འདས་པ།_###
ཕྱིད | འཕྱིད_འདས་པ།_###+འཕྱིད_འདས་པ།_ཐ་མི་དད་པ+ཕྱིད_འདས་པ།_ཐ་མི་དད་པ
ཕྱིན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱིས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ཕྱི_སྐུལ་ཚིག_ཐ་དད་པ+འབྱིད_སྐུལ་ཚིག_ཐ་དད་པ+འབྱིད_སྐུལ་ཚིག_###+ཕྱིས_སྐུལ་ཚིག_ཐ་དད་པ+དབྱི_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱུང | ཕྱུངས_འདས་པ།_ཐ་དད་པ+དབྱུང_འདས་པ།_ཐ་དད་པ+འབྱིན_འདས་པ།_ཐ་དད་པ+ཕྱུང_འདས་པ།_ཐ་དད་པ+འབྱིན_འདས་པ།_###
ཕྱུངས | ཕྱུངས_སྐུལ་ཚིག_ཐ་དད་པ+འབྱིན_སྐུལ་ཚིག_###+དབྱུང_སྐུལ་ཚིག_ཐ་དད་པ+འབྱིན_སྐུལ་ཚིག_ཐ་དད་པ+ཕྱུང_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱེ | དབྱེ_འདས་པ།_ཐ་དད་པ+འབྱེད_འདས་པ།_ཐ་དད་པ+ཕྱེ_འདས་པ།_ཐ་དད་པ+ཕྱེས_འདས་པ།_ཐ་དད་པ+འབྱེད_འདས་པ།_###
ཕྱེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཕྱེས | འབྱེད_སྐུལ་ཚིག_ཐ་དད་པ+ཕྱེ_སྐུལ་ཚིག_ཐ་དད་པ+འབྱེད_སྐུལ་ཚིག_###+ཕྱེས_སྐུལ་ཚིག_ཐ་དད་པ+དབྱེ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྱོགས | ཕྱག_སྐུལ་ཚིག_ཐ་དད་པ+འཕྱག_སྐུལ་ཚིག_ཐ་དད་པ+ཕྱོགས_སྐུལ་ཚིག_ཐ་དད་པ+ཕྱགས_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཕྱོར | ཕྱོར_སྐུལ་ཚིག_ཐ་དད་པ+འཕྱར_སྐུལ་ཚིག_ཐ་དད་པ+ཕྱར_སྐུལ་ཚིག_ཐ་དད་པ+འཕྱར_སྐུལ་ཚིག_###
ཕྲད | ཕྲད_འདས་པ།_ཐ་མི་དད་པ
ཕྲལ | འཕྲལ_འདས་པ།_ཐ་དད་པ+འབྲལ_འདས་པ།_ཐ་དད་པ+ཕྲོལ_མ་འོངས་པ།_###+འཕྲལ_མ་འོངས་པ།_ཐ་དད་པ+ཕྲལ_མ་འོངས་པ།_ཐ་དད་པ+ཕྲལ_འདས་པ།_###+དབྲལ_འདས་པ།_ཐ་དད་པ+ཕྲལ_འདས་པ།_ཐ་དད་པ+ཕྲོལ_འདས་པ།_###+ཕྲོལ_འདས་པ།_ཐ་དད་པ
ཕྲས | འཕྲ_འདསཔ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
ཕྲི | དབྲི_འདས་པ།_ཐ་དད་པ+ཕྲི_འདས་པ།_ཐ་དད་པ+ཕྲིས_འདས་པ།_###+བྱ་ཚིག_###+འཕྲི_འདས་པ།_ཐ་དད་པ
ཕྲིས | འཕྲི_སྐུལ་ཚིག_ཐ་དད་པ+བྲི_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲི_སྐུལ་ཚིག_ཐ་དད་པ+འབྲིད_སྐུལཚིག_འབྲི་ཚུལ+དབྲི_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲིས_སྐུལ་ཚིག_###
ཕྲུགས | འཕྲུག_སྐུལཚིག_འབྲི་ཚུལ
ཕྲུལ | ཕྲུལ_འདས་པ།_ཐ་མི་དད་པ
ཕྲོག | དབྲོག_འདས་པ།_ཐ་དད་པ
ཕྲོགས | འཕྲོག_སྐུལ་ཚིག_ཐ་དད་པ+དབྲོག_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲོགས_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲོགས_འདས་པ།_ཐ་དད་པ+འཕྲོག_འདས་པ།_ཐ་དད་པ
ཕྲོད | བྲད_སྐུལ་ཚིག_ཐ་དད་པ+དབྲད_སྐུལ་ཚིག_ཐ་དད་པ+འབྲད_སྐུལ་ཚིག_###+འབྲད_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲོད_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོབ | དབྲབ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོབས | འབྲབ_སྐུལཚིག_འབྲི་ཚུལ
ཕྲོལ | ཕྲལ_སྐུལ་ཚིག_###+ཕྲོལ_སྐུལ་ཚིག_###+འཕྲལ_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འབྲལ_སྐུལ་ཚིག_ཐ་དད་པ+ཕྲལ_སྐུལ་ཚིག_ཐ་དད་པ+དབྲལ_སྐུལ་ཚིག_ཐ་དད་པ
ཕྲོས | ཕྲོས_སྐུལ་ཚིག_ཐ་དད་པ
བཀག | འགོག_འདས་པ།_ཐ་དད་པ+འགོག_འདས་པ།_###+བཀག_འདས་པ།_ཐ་དད་པ+ཁོག_འདས་པ།_ཐ་དད་པ+དགག_འདས་པ།_ཐ་དད་པ+བཀོག_འདས་པ།_ཐ་དད་པ
བཀང | ཁོང_འདས་པ།_ཐ་དད་པ+དགང_འདས་པ།_ཐ་དད་པ+འགེངས_འདས་པ།_ཐ་དད་པ+བཀང_འདས་པ།_ཐ་དད་པ
བཀད | བཀད_འདས་པ།_ཐ་དད་པ+ཁོད_འདས་པ།_ཐ་དད་པ+འགད_འདས་པ།_ཐ་དད་པ+འགད_འདས་པ།_###+དགད_འདས་པ།_ཐ་དད་པ
བཀན | བཀན_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀོན_ད་ལྟ་བ།_###+བཀོན_འདས་པ།_###+བཀོན_མ་འོངས་པ།_###+བཀན_འདས་པ།_ཐ་མི་དད་པ+བཀན_མ་འོངས་པ།_ཐ་མི་དད་པ
བཀབ | འགེབ_འདས་པ།_ཐ་དད་པ+ཁོབ_འདས་པ།_ཐ་དད་པ+དགབ_འདས་པ།_ཐ་དད་པ+འགེབ_འདས་པ།_###+བཀབ_འདས་པ།_ཐ་དད་པ
བཀར | བཀར_འདས་པ།_###+འགེར_འདས་པ།_###+འགེར_འདས་པ།_ཐ་དད་པ+དགར_འདས་པ།_ཐ་དད་པ+ཁོར_འདས་པ།_###+བཀར_འདས་པ།_ཐ་དད་པ+ཁོར_འདས་པ།_ཐ་དད་པ+དགར_འདས་པ།_###
བཀལ | འཁེལ_མའོངསཔ_འབྲི་ཚུལ+འཁེལ_འདསཔ_འབྲི་ཚུལ+འཁེལ_འདས་པ།_ཐ་དད་པ+ཁོལ_མ་འོངས་པ།_###+དགལ_འདས་པ།_ཐ་དད་པ+བྱ་ཚིག_ཐ་མི་དད་པ+བཀལ_འདས་པ།_ཐ་དད་པ+འགེལ_འདས་པ།_###+བཀལ_འདས་པ།_###+ཁོལ_འདས་པ།_###+འཁེལ_མ་འོངས་པ།_ཐ་དད་པ+ཁོལ_འདས་པ།_ཐ་དད་པ
བཀས | བཀས_འདས་པ།_ཐ་དད་པ+ཁོས_འདས་པ།_ཐ་དད་པ+འགས_འདས་པ།_ཐ་དད་པ+དགས_འདས་པ།_ཐ་དད་པ
བཀུ | བཀུས_མ་འོངས་པ།_ཐ་དད་པ+བཀུ_མ་འོངས་པ།_ཐ་དད་པ+བཀུ_ད་ལྟ་བ།_ཐ་དད་པ+བཀུས_ད་ལྟ་བ།_ཐ་དད་པ
བཀུག | ཁུག_འདས་པ།_ཐ་དད་པ+འགུགས_འདས་པ།_ཐ་དད་པ+འགུགས_འདས་པ།_###+དགུག_འདས་པ།_ཐ་དད་པ+བཀུག_འདས་པ།_ཐ་དད་པ
བཀུམ | ཁུམ_འདས་པ།_ཐ་དད་པ+དགུམ_འདས་པ།_ཐ་དད་པ+འགུམ_འདས་པ།_ཐ་དད་པ+བཀུམ_འདས་པ།_ཐ་དད་པ
བཀུར | བྱ་ཚིག_ཐ་དད་པ
བཀུས | བཀུ_འདས་པ།_ཐ་དད་པ+བཀུ_སྐུལ་ཚིག_ཐ་དད་པ+བཀུས_སྐུལ་ཚིག_ཐ་དད་པ+བཀུས_འདས་པ།_ཐ་དད་པ
བཀོག | དགོག_འདས་པ།_ཐ་དད་པ
བཀོང | བཀོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀོངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཀོངས_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོང_མ་འོངས་པ།_ཐ་དད་པ+བཀོངས_མ་འོངས་པ།_ཐ་དད་པ+བཀོང_ད་ལྟ་བ།_ཐ་དད་པ+བཀོང_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོངས_ད་ལྟ་བ།_ཐ་དད་པ
བཀོངས | བཀོངས_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོང_འདས་པ།_ཐ་དད་པ+བཀོངས_འདས་པ།_ཐ་མི་དད་པ+བཀོངས_སྐུལ་ཚིག_ཐ་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོང_སྐུལ་ཚིག_ཐ་དད་པ+བཀོངས_འདས་པ།_ཐ་དད་པ+བཀོང_འདས་པ།_ཐ་མི་དད་པ
བཀོད | དགོད_འདས་པ།_###+འགོད_འདས་པ།_ཐ་དད་པ+བཀོད_འདས་པ།_ཐ་དད་པ
བཀོན | འཁོན_མ་འོངས་པ།_ཐ་དད་པ+བཀོན_སྐུལ་ཚིག_###+འཁོན_འདས་པ།_ཐ་མི་དད་པ+འཁོན_འདས་པ།_ཐ་དད་པ+བཀན_སྐུལ་ཚིག_ཐ་མི་དད་པ+བཀོན_མ་འོངས་པ།_ཐ་མི་དད་པ+འཁོན_མ་འོངས་པ།_ཐ་མི་དད་པ+བཀོན_འདས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
